trial, S1, S2, R, T, xi
827,0,0,38,115,-1 
828,68,0,42,22,1 
829,68,5,25,14,1 
830,127,0,24,9,1 
831,41,0,41,36,1 
832,65,0,27,19,1 
833,0,0,57,123,-1 
834,0,0,167,132,1 
835,48,0,27,29,1 
836,0,0,47,124,-1 
837,0,0,209,116,1 
838,34,54,32,16,1 
839,0,0,51,106,-1 
840,47,0,35,34,1 
841,0,0,49,95,-1 
842,0,0,207,156,1 
843,0,0,213,128,1 
844,0,0,52,128,-1 
845,0,0,205,120,1 
846,72,0,36,23,1 
847,88,0,35,19,1 
848,0,4,24,57,-1 
849,0,0,42,128,-1 
850,0,0,55,120,-1 
851,0,0,57,126,-1 
852,0,37,55,37,1 
853,0,0,49,139,-1 
854,0,0,50,127,-1 
855,0,0,56,124,-1 
856,0,0,48,138,-1 
857,0,0,47,141,-1 
858,0,11,20,57,-1 
859,0,0,46,144,-1 
860,0,0,216,122,1 
861,0,77,38,28,1 
862,0,34,55,30,1 
863,0,78,28,14,1 
864,0,84,40,22,1 
865,0,74,40,24,1 
866,0,0,48,130,-1 
867,0,0,54,120,-1 
868,0,0,56,131,-1 
869,32,0,65,31,1 
870,0,0,48,133,-1 
871,0,0,57,131,-1 
872,0,0,40,133,-1 
873,0,69,31,22,1 
874,0,0,214,137,1 
875,0,0,72,134,-1 
876,107,0,17,11,1 
877,0,0,206,123,1 
878,0,0,181,120,1 
879,0,0,43,119,-1 
880,0,36,44,35,1 
881,0,0,45,129,-1 
882,38,0,45,33,1 
883,0,0,39,120,-1 
884,0,82,31,17,1 
885,0,0,51,139,-1 
886,83,0,26,17,1 
887,0,0,56,145,-1 
888,98,0,34,17,1 
889,0,0,196,107,1 
890,0,0,207,119,1 
891,0,0,239,141,1 
892,0,0,37,124,-1 
893,94,40,20,15,1 
894,0,69,29,29,1 
895,0,0,207,116,1 
896,0,62,44,31,1 
897,0,0,67,116,1 
898,82,0,43,22,1 
899,0,0,60,123,-1 
900,0,0,42,103,-1 
901,0,0,51,128,-1 
902,63,0,39,22,1 
903,0,55,45,28,1 
904,0,100,29,27,1 
905,0,0,183,132,1 
906,0,0,55,121,-1 
907,0,0,47,135,-1 
908,83,0,26,16,1 
909,53,0,48,27,1 
910,86,0,33,17,1 
911,0,0,58,134,-1 
912,0,0,46,133,-1 
913,0,0,55,105,-1 
914,0,0,205,132,1 
915,0,0,54,117,-1 
916,0,0,50,122,-1 
917,0,0,53,131,-1 
918,0,0,62,122,-1 
919,0,51,38,30,1 
920,61,0,45,29,1 
921,94,0,38,23,1 
922,0,0,48,111,-1 
923,0,0,42,138,-1 
924,98,0,21,16,1 
925,0,0,49,129,-1 
926,0,0,49,113,-1 
927,0,0,40,121,-1 
928,0,73,20,14,1 
929,0,0,50,130,-1 
930,0,0,33,120,-1 
931,0,0,47,121,-1 
932,0,0,41,131,-1 
933,0,59,51,32,1 
934,0,63,38,31,1 
935,45,0,62,42,1 
936,0,0,57,119,-1 
937,0,0,219,129,1 
938,31,0,70,41,1 
939,0,0,39,131,-1 
940,18,53,46,18,1 
941,0,0,58,119,-1 
942,0,0,48,125,-1 
943,0,0,55,137,-1 
944,0,0,56,124,-1 
945,0,0,62,126,-1 
946,12,0,97,71,1 
947,49,0,54,20,1 
948,0,64,47,43,1 
949,0,0,60,122,-1 
950,0,0,46,122,-1 
951,32,26,41,29,1 
952,0,54,27,26,1 
953,0,44,42,39,1 
954,0,0,51,120,-1 
955,0,0,47,122,-1 
956,85,0,36,13,1 
957,0,0,197,124,1 
958,0,0,45,138,-1 
959,0,0,59,128,-1 
960,12,0,132,79,1 
961,0,0,56,125,-1 
962,0,0,41,128,-1 
963,73,0,39,28,1 
964,84,0,15,21,1 
965,0,0,48,122,-1 
966,0,67,28,25,1 
967,0,0,46,134,-1 
968,0,0,52,122,-1 
969,0,0,51,135,-1 
970,0,56,41,30,1 
971,79,0,39,23,1 
972,0,0,53,120,-1 
973,0,0,47,111,-1 
974,0,0,55,119,-1 
975,0,0,48,109,-1 
976,0,0,45,122,-1 
977,0,0,32,122,-1 
978,0,0,43,119,-1 
979,0,0,53,119,-1 
980,0,38,45,32,1 
981,0,0,54,139,-1 
982,0,0,61,135,-1 
983,0,50,32,28,1 
984,0,48,39,39,1 
985,0,36,47,37,1 
986,88,0,29,17,1 
987,0,0,63,117,-1 
988,0,82,36,16,1 
989,0,0,41,117,-1 
990,0,0,204,140,1 
991,0,0,45,116,-1 
992,0,0,55,130,-1 
993,0,0,58,135,-1 
994,0,42,46,40,1 
995,65,0,39,22,1 
996,0,47,62,32,1 
997,0,88,25,27,1 
998,0,0,45,115,-1 
999,0,0,49,131,-1 
1000,0,0,45,132,-1 
1001,66,0,24,18,1 
1002,71,0,30,21,1 
1003,0,0,53,114,-1 
1004,0,0,59,133,-1 
1005,29,44,31,19,1 
1006,0,0,178,128,1 
1007,0,0,42,107,-1 
1008,0,0,65,115,-1 
1009,0,63,25,27,1 
1010,0,0,182,120,1 
1011,0,0,54,153,-1 
1012,0,0,50,128,-1 
1013,0,0,206,123,1 
1014,86,0,32,17,1 
1015,0,0,203,121,1 
1016,63,0,41,26,1 
1017,74,0,44,23,1 
1018,0,0,41,128,-1 
1019,0,0,44,126,-1 
1020,0,48,45,32,1 
1021,47,0,53,26,1 
1022,0,0,48,120,-1 
1023,0,0,68,122,-1 
1024,0,60,38,34,1 
1025,47,35,42,31,1 
1026,0,0,54,133,-1 
